Y,name,district,url,photo,telephone,longitude,operationType,X,latitude,discountCategory,operationCategory,address,discountPeriod,openingHours,discountContent,discountCondition
,清心福全(台北大同重慶北店),大同區,,,02-2596-4768,121.511289,餐飲類,,25.06438,折價,飲料店,台北市大同區延平北路3段25之1號,2011/05/1起,11:00-22:00,650ml(含)以上折價2元，以下折價1元,自備飲料杯
,快樂地水果吧(南西店),中山區,,,0921-262-180,121.521187,餐飲類,,25.052307,折價,飲料店,台北市中山區南京西路12號,2011/05/1起,11:00-22:00,飲品折價2元,自備飲料杯
,Subway(101 MALL),信義區,,,02-8101-8195,121.564101,餐飲類,,25.033493,折價,速食店,台北市信義區市府路45號B1-10,2011/05/1起,11:00-22:00,651ml(含)以上折價3元，501至650ml折價2元，500ml(含)以下折1元,自備飲料杯
,歇腳亭(內湖新明店),內湖區,,,02-2796-1947,121.584595,餐飲類,,25.05714,集點,飲料店,台北市內湖區新明路210號,2011/05/1起,11:00-22:00,每杯2點，集10點可兌或折抵35元以下飲料1杯,自備飲料杯
,全家便利商店(東安分公司),內湖區,,,02-2634-5521,121.615869,餐飲類,,25.067858,折價,便利超商,台北市內湖區安康路480號,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,丹堤咖啡(重慶寧波店),中正區,,,02-2357-8031,121.515392,餐飲類,,25.030041,折價,飲料店,台北市中正區重慶南路2段73號,2011/05/1起,11:00-22:00,飲品折價5元,自備飲料杯
,7-ELEVEN(台北市第三八四分公司),松山區,,,02-3765-2630,121.56156,餐飲類,,25.051682,折價,便利超商,台北市松山區南京東路5段139-4、139-8號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,7-ELEVEN(台北市第六四四分公司),士林區,,,02-2834-5642,121.51988,餐飲類,,25.097087,折價,便利超商,台北市士林區美崙街112號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,聖德科斯天然有機門市(大坪林門市),新店區,,,02-2916-1141,121.539747,餐飲類,,24.982748,折價,其他,新北市新店區民權路49號,2012/08/01起,07:30~21:00,自備環保杯來店購買任一現打飲品或研磨現煮有機咖啡的折價2元,自備飲料杯
,MisterDonuts(台北市第二分公司),信義區,,,02-2746-7916 ,121.566688,餐飲類,,25.046781,折價,飲料店,台北市信義區東興路67號1樓(統一超商大樓),2011/05/1起,11:00-22:00,飲品折價3元(若該飲品使用優惠免費贈送者，無享折價優惠),自備飲料杯
,清心福全(台北北投致遠店),北投區,,,02-2822-3996,121.512802,餐飲類,,25.113046,折價,飲料店,台北市北投區致遠一路2段105號,2011/05/1起,11:00-22:00,650ml(含)以上折價2元，以下折價1元,自備飲料杯
,OK超商(第125分公司),北投區,,,02-6617-1731,121.497523,餐飲類,,25.136053,折價,便利超商,台北市北投區中央北路1段206、208號,2011/05/1起,00:00-24:00,OK Caf 飲品折價3元,自備飲料杯
,全家便利商店(明德分公司),北投區,,,02-2823-9507,121.518888,餐飲類,,25.10908,折價,便利超商,台北市北投區明德路93號1樓,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,7-ELEVEN(台北市第六七七分公司),內湖區,,,02-2658-9241,121.578968,餐飲類,,25.078517,折價,便利超商,台北市內湖區文德路6號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,聖德科斯天然有機門市(後山埤門市),南港區,,,02-2652-2885,121.583119,餐飲類,,25.045367,折價,其他,臺北市南港區忠孝東路六段8號,2012/08/01起,07:30~21:00,自備環保杯來店購買任一現打飲品或研磨現煮有機咖啡的折價2元,自備飲料杯
,真鍋珈琲館(士林旗艦店),士林區,,,02-2880-2669,121.525742,餐飲類,,25.09239,折價,飲料店,台北市士林區福德路12號,2011/05/1起,11:00-22:00,650ml(含)以上折價2元，以下折價1元,自備飲料杯
,全家便利商店(昌隆分公司),大安區,,,02-8369-1009,121.536331,餐飲類,,25.025682,折價,便利超商,台北市大安區和平東路2段22號,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,50嵐(吉林店),中山區,,,02-2100-1912,121.530379,餐飲類,,25.059624,折價,飲料店,台北市中山區吉林路185號,2011/05/1起,11:00-22:00,大杯折價2元，中杯折價1元,自備飲料杯
,全家便利商店(世貿分公司),信義區,,,02-8788-4949,121.558835,餐飲類,,25.033259,折價,便利超商,台北市信義區信義路4段405號1樓,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,呷尚寶(南港店),南港區,,,02-26548360,121.593386,餐飲類,,25.05462,折價,早餐店,台北市南港區南港路2段328號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,7-ELEVEN(台北市第一九八分公司),松山區,,,02-274-01886,121.544222,餐飲類,,25.050024,折價,便利超商,台北市松山區復興北路35號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,摩斯漢堡(林森分公司),中山區,,,02-2581-8390,121.525096,餐飲類,,25.051558,集點,速食店,台北市中山區林森北路140號,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換30元商品，集10點可兌換60元商品(前述不含罐裝、瓶裝非現場填裝)飲料,自備飲料杯
,85度C(台北榮星店),中山區,,,02-2517-1525,121.540855,餐飲類,,25.066089,折價,飲料店,台北市中山區龍江路358號1樓,2011/05/1起,11:00-22:00,飲品折價3元,自備飲料杯
,7-ELEVEN(台北市第五五八分公司),中正區,,,02-3322-4217,121.531172,餐飲類,,25.040321,折價,便利超商,台北市中正區濟南路2段50號1樓,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,星巴克(公館台大),中正區,,,02-2389-3776,121.514113,餐飲類,,25.046194,折價,飲料店,台北市中正區懷寧街10號1~3樓(懷寧街與開封街口),2011/05/1起,11:00-22:00,飲品折價10元,自備飲料杯
,超秦(麥味登)(西園店),萬華區,,,02-23029010,121.496166,餐飲類,,25.029421,折價,早餐店,台北市萬華區西園路2段139號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,7-ELEVEN(台北市二三一分公司),內湖區,,,02-2791-1337,121.586718,餐飲類,,25.08827,折價,便利超商,台北市內湖區金龍路224號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,COME  BUY(林森店),大同區,,,02-2581-9907,121.525447,餐飲類,,25.054361,集點,飲料店,台北市大同區林森北路259巷(欣欣票口對面),2011/05/1起,11:00-10:00,每杯1點，集10點可兌換30元飲品1杯,自備飲料杯
,Dunkin'  Donuts(寶慶店(店號7122)),中正區,,,02-2382-6901,121.519872,餐飲類,,25.042141,折價,飲料店,台北市中正區寶慶路32號B1(遠東百貨),2011/05/1起,11:00-22:00,飲品折價3元,自備飲料杯
,7-ELEVEN(台北市第六分公司),北投區,,,02-2820-8072,121.512426,餐飲類,,25.113987,折價,便利超商,台北市北投區石牌路1段126號1樓,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,戀之味飲食名店,士林區,,,02-88666788,121.522361,餐飲類,,25.097093,折價,中式,臺北市士林區文昌路10號,2011/07/01-2012/07/31,10:00-00:30,折價5元,自備餐盒
,全家便利商店(福澤分公司),大同區,,,02-2557-6965,121.520159,餐飲類,,25.057757,折價,便利超商,台北市大同區民生西路63號,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,7-ELEVEN(台北市第三0一分公司),中山區,,,02-2567-6232,121.522468,餐飲類,,25.054554,折價,便利超商,台北市中山區中山北路2段40-1號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,鮮芋仙(台北西湖店),內湖區,,,02-2627-4322,121.565244,餐飲類,,25.082658,折價,飲料店,台北市內湖區內湖路1段239號,2011/05/1起,11:00-22:00,650ml(含)以上折價2元，以下折價1元,自備飲料杯
,呷尚寶(道德店),信義區,,,02-27275783,121.58255,餐飲類,,25.040937,折價,早餐店,台北市信義區大道路75號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,萊爾富(北市士海店),士林區,,,02-2810-6275,121.471491,餐飲類,,25.108581,折價,便利超商,台北市士林區延平北路9段212號(台北海洋學院),2011/05/1起,00:00-24:00,Hi Caf 飲品折價3元,自備飲料杯
,呷尚寶(內湖店),內湖區,,,02-27939323,121.592185,餐飲類,,25.083408,折價,早餐店,台北市內湖區內湖路2段432號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,7-ELEVEN(台北市第四十五分公司),大同區,,,02-2599-2807,121.515727,餐飲類,,25.071883,折價,便利超商,台北市大同區酒泉街58、60號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,麥當勞(士林中正分公司),士林區,,,"02-2880-4169
02-2880-4164",121.524061,餐飲類,,25.094728,集點,速食店,台北市士林區中正路287號1樓,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換30元飲料1杯(奶昔、漂浮飲品及免費飲料不在集點範圍內),自備飲料杯
,Golden咖啡茶飲(民生合江店),中山區,,,02-2515-0188,121.539284,餐飲類,,25.058129,折價,飲料店,台北市中山區合江街67-11號,2011/05/1起,11:00-22:00,650ml(含)以上折價3元，以下折價2元,自備飲料杯
,萊爾富(北市北和分公司),北投區,,,02-2894-3393,121.498167,餐飲類,,25.143581,折價,便利超商,台北市北投區中和街402號1樓,2011/05/1起,00:00-24:00,Hi Caf 飲品折價3元,自備飲料杯
,西雅圖咖啡(忠孝延吉店),大安區,,,02-2711-6950,121.554662,餐飲類,,25.041225,折價,飲料店,台北市大安區忠孝東路4段250號1樓,2011/05/1起,11:00-22:00,飲品折價5元,自備飲料杯
,50嵐(西門國賓店),萬華區,,,02-2370-5488,121.504445,餐飲類,,25.043261,折價,飲料店,台北市萬華區成都路99-1號,2011/05/1起,11:00-22:00,大杯折價2元，中杯折價1元,自備飲料杯
,7-ELEVEN(台北市第五十四分公司),松山區,,,02-2546-6532,121.546691,餐飲類,,25.052477,折價,便利超商,台北市松山區南京東路3段303巷5號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,7-ELEVEN(台北市第三六六分公司),北投區,,,02-2826-4184,121.522299,餐飲類,,25.118001,折價,便利超商,台北市北投區振興街31號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,OK超商(第873分公司),北投區,,,02-2894-6082,121.499944,餐飲類,,25.142146,折價,便利超商,台北市北投區復興四路23號1樓,2011/05/1起,00:00-24:00,OK Caf 飲品折價3元,自備飲料杯
,7-ELEVEN(台北市第六一一分公司),中正區,,,02-2331-2768,121.518776,餐飲類,,25.046117,折價,便利超商,台北市中正區忠孝西路1段33、35號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,萊爾富(第三八二0分公司),內湖區,,,02-2634-6037,121.604092,餐飲類,,25.073503,折價,便利超商,台北市內湖區金湖路358、358-1號,2011/05/1起,00:00-24:00,Hi Caf 飲品折價3元,自備飲料杯
,色杯子絕色茶飲(台北科大分公司),大安區,,,02-2711-4161,121.546298,餐飲類,,25.04441,集點,飲料店,台北市大安區大安路1段21號,2011/05/1起,11:00-22:00,每杯1點，集10點可換30元飲料一杯或補差額買30元以上飲品,自備飲料杯
,環島粉圓(南陽店),中正區,,,02-2361-7272,121.516027,餐飲類,,25.045431,折價,飲料店,台北市中正區南陽街4號,2011/05/1起,11:00-22:00,650ml(含)以上折價3元，以下折價2元,自備飲料杯
,7-ELEVEN(台北市第六八一分公司),中正區,,,02-2382-6912,121.511644,餐飲類,,25.043067,折價,便利超商,台北市中正區博愛路97號1樓,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,50嵐(新北投店),北投區,,,02-2891-5291,121.503497,餐飲類,,25.136035,折價,飲料店,台北市北投區光明路195號,2011/05/1起,11:00-22:00,大杯折價2元，中杯折價1元,自備飲料杯
,怡客咖啡(逸仙店),信義區,,,02-2345-0714,121.562454,餐飲類,,25.040516,折價,飲料店,台北市信義區逸仙路50巷12號,2011/05/1起,11:00-22:00,飲品折價5元，若與店內其它優惠用折價1元,自備飲料杯
,聖德科斯天然有機門市(內湖成功門市),內湖區,,,02-2791-7357,121.594698,餐飲類,,25.083688,折價,其他,臺北市內湖區成功路四段173號,2012/08/01起,07:30~21:00,自備環保杯來店購買任一現打飲品或研磨現煮有機咖啡的折價2元,自備飲料杯
,麥當勞(成都路分公司),萬華區,,,02-2381-0122,121.507222,餐飲類,,25.043489,集點,速食店,台北市萬華區漢中街,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換30元飲料1杯(奶昔、漂浮飲品及免費飲料不在集點範圍內),自備飲料杯
,原沏(石牌致遠店),北投區,,,02-2823-1514,121.514993,餐飲類,,25.110353,折價,飲料店,台北市北投區致遠一路126號,2011/05/1起,11:00-22:00,飲品折價2元，可與其他優惠並行但不折抵現金,自備飲料杯
,全家便利商店(富台分公司),信義區,,,02-2763-9428,121.574175,餐飲類,,25.042113,折價,便利超商,台北市信義區虎林街120巷148號1樓,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,星巴克(內湖三總門市),內湖區,,,02-8791- 8095,121.590019,餐飲類,,25.071538,折價,飲料店,台北市內湖區成功路2段325號B1,2011/05/1起,11:00-22:00,飲品折價10元,自備飲料杯
,摩斯漢堡(南港第二分公司),南港區,,,02-2785-8441,121.611783,餐飲類,,25.05784,集點,速食店,台北市南港區園區街3之2號2樓H棟(南港軟體園區2期H棟2樓),2011/05/1起,11:00-22:00,每杯1點，集5點可兌換30元商品，集10點可兌換60元商品(前述不含罐裝、瓶裝非現場填裝)飲料,自備飲料杯
,MisterDonuts(A11門市),信義區,,,02-2723-7463,121.567208,餐飲類,,25.036004,折價,飲料店,台北市信義區松壽路11號B1(三越信義A11館),2011/05/1起,11:00-22:00,飲品折價3元(若該飲品使用優惠免費贈送者，無享折價優惠),自備飲料杯
,星巴克(台北市第二十七分公司),中山區,,,02-2504-4751,121.543988,餐飲類,,25.061973,折價,飲料店,台北市中山區民權東路3段88號1樓(復興北路民權東路口),2011/05/1起,11:00-22:00,飲品折價10元,自備飲料杯
,酷聖石Cold Stone(崇光門市),大安區,,,02-8771-0301,121.544838,餐飲類,,25.041758,折價,飲料店,台北市大安區忠孝東路4段45號B1(SOGO忠孝館B1美食街),2011/05/1起,11:00-22:00,飲品折價10元,自備飲料杯
,呷尚寶(合江店),中山區,,,02-25165224,121.539307,餐飲類,,25.060148,折價,早餐店,台北市中山區合江街115號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,好了啦(天母德行),士林區,,,0929-316-663,121.528276,餐飲類,,25.108436,折價,飲料店,台北市士林區德行東路109巷25號,2011/05/1起,11:00-22:00,650ml(含)以上折價2元，以下折價1元,自備飲料杯
,伯朗咖啡(台北承德一分公司),大同區,,,02-2585-7678,121.515773,餐飲類,,25.068457,折價,飲料店,台北市大同區民族西路146號,2011/05/1起,11:00-22:00,飲品折價3元,自備飲料杯
,瑞麟美而美(一江店),中山區,,,02-25632092,121.531408,餐飲類,,25.05376,折價,早餐店,台北市中山區一江街36號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
